ident,type,name,iso_country,iso_region,municipality,iata_code,state_code
SC91,small_airport,Bell's Branch Airport,US,US-SC,Branchville,,SC
SC92,small_airport,Rambos Field,US,US-SC,Abbeville,,SC
SC93,small_airport,Paul's Plantation Airport,US,US-SC,Darlington,,SC
SC94,small_airport,Weaver Field,US,US-SC,Johnsonville,,SC
SC95,small_airport,Perry International Airport,US,US-SC,Perry,,SC
SC96,small_airport,Tokeena Air Park,US,US-SC,Seneca,,SC
SC97,small_airport,Riverbend Airpark,US,US-SC,Mauldin,,SC
SC98,small_airport,Mount Holly Airport,US,US-SC,Goose Creek,,SC
SC99,small_airport,Whiteplains Airport,US,US-SC,Lexington,,SC
SCR,closed,Scranton Municipal Airport.,US,US-PA,Scranton,SCR,PA
SD00,small_airport,Mj Aviation Ii Airport,US,US-SD,Elk Point,,SD
SD01,small_airport,Mj Aviation I Airport,US,US-SD,Letcher,,SD
SD03,small_airport,Calico Field,US,US-SD,Winfred,,SD
SD05,small_airport,Thorson Airfield,US,US-SD,Aberdeen,,SD
SD06,heliport,Faulkton Area Medical Center Heliport,US,US-SD,Faulkton,,SD
SD09,heliport,Mid-Dakota Hospital Heliport,US,US-SD,Chamberlain,,SD
SD1,heliport,Soldotna Hospital H Heliport,US,US-AK,Soldotna,,AK
SD13,small_airport,Hofer Private Airport,US,US-SD,Doland,,SD
SD14,small_airport,Valburg Ranch Airport,US,US-SD,Draper,,SD
SD17,heliport,Cdp Hospital Heliport,US,US-SD,Sisseton,,SD
SD18,heliport,Keystone Adventures Heliport,US,US-SD,Rapid City,,SD
SD19,small_airport,Andersen Farms Airport,US,US-SD,Badger,,SD
SD21,small_airport,Hayes Emergency Airstrip,US,US-SD,Hayes,,SD
SD22,closed,Holy Infant Hospital Heliport,US,US-SD,Hoven,,SD
SD23,heliport,Black Hills Health Care System Heliport,US,US-SD,Hot Springs,,SD
SD24,small_airport,Bruch Ranch Airport,US,US-SD,Sturgis,,SD
SD25,small_airport,Rappe Field,US,US-SD,Ipswich,,SD
SD26,heliport,Mike Jacob Sturgis Heliport,US,US-SD,Sturgis,,SD
SD29,closed,Menno Airport,US,US-SD,Menno,,SD
SD30,small_airport,Selle Airport,US,US-SD,Bonesteel,,SD
SD32,small_airport,Braun Airport,US,US-SD,Aberdeen,,SD
SD33,small_airport,Sky Ranch For Boys Airport,US,US-SD,Camp Crook,,SD
SD35,small_airport,Bruch Airfield,US,US-SD,Sturgis,,SD
SD36,small_airport,Booth Ranch Airport,US,US-SD,Ridgeview,,SD
SD37,small_airport,Fiedler Airport,US,US-SD,Selby,,SD
SD40,heliport,Rapid City Regional Hospital Heliport,US,US-SD,Rapid City,,SD
SD41,small_airport,Shambo Ranch Airport,US,US-SD,Lemmon,,SD
SD42,small_airport,Waltner & Richards Airport,US,US-SD,Bridgewater,,SD
SD43,small_airport,Ingle Airport,US,US-SD,Cavour,,SD
SD44,small_airport,Cook Field,US,US-SD,Chamberlain,,SD
SD45,heliport,Community Memorial Hospital Heliport,US,US-SD,Redfield,,SD
SD46,small_airport,Jensen Airport,US,US-SD,Dell Rapids,,SD
SD47,small_airport,Hunt Field,US,US-SD,Eagle Butte,,SD
SD48,small_airport,Blomberg 42 Ranch Private Airport,US,US-SD,Faith,,SD
SD49,small_airport,Hite Private Airport,US,US-SD,Ferney,,SD
SD50,small_airport,Harrold Municipal Airport,US,US-SD,Harrold,,SD
SD52,heliport,Avera Queen of Peace Hospital Heliport,US,US-SD,Mitchell,,SD
SD53,small_airport,Howard Field,US,US-SD,Beresford,,SD
SD54,heliport,St Luke's Mrmc Heliport,US,US-SD,Aberdeen,,SD
SD55,small_airport,Winter Airfield,US,US-SD,Huron,,SD
SD56,small_airport,Ralph Myers Airport,US,US-SD,Onida,,SD
SD57,small_airport,W L Thompson Airport,US,US-SD,Pierre,,SD
SD58,heliport,Burke Hospital Heliport,US,US-SD,Burke,,SD
SD59,closed,Carr Airport,US,US-SD,Prairie City,,SD
SD60,small_airport,Ike John Private Airport,US,US-SD,Strool/Prairie City,,SD
SD61,small_airport,Plihal Farms Airport,US,US-SD,Tyndall,,SD
SD62,small_airport,Schaller Airport,US,US-SD,Verdon,,SD
SD63,heliport,Custer Heliport,US,US-SD,Custer,,SD
