city,state,median_age,tot_pop,avg_house_size,state_code,pct_male_pop,pct_female_pop,pct_native,pct_asian,pct_black,pct_hispanic,pct_white,pct_foreign_born,pct_veterans
Allen,Texas,37.2,98138,3.04,TX,52.2977847520838,47.7022152479162,0.23130693513216086,16.089588130999203,13.389308932319794,10.81640139395545,71.165094051234,20.021806028245944,3.5715013552344663
Amarillo,Texas,33.8,199651,2.64,TX,49.78237023606193,50.21762976393807,2.133723347240936,4.2889842775643485,7.037280053693697,32.75315425417353,87.25926742165078,10.580462907774066,5.513621269114605
Ames,Iowa,23.0,65052,2.16,IA,51.9799544979401,48.02004550205989,,13.80280391071758,1.6955666236241778,3.1113570681916007,86.32632355653938,13.229416466826539,3.481829920678842
Anaheim,California,33.6,350738,3.45,CA,51.207168883896244,48.792831116103756,0.7096465167732039,15.187975069710154,2.7869805952021167,57.47680604895964,74.07808677702444,39.09841534136592,2.792967970393855
Anchorage,Alaska,32.2,298695,2.77,AK,51.20440583203603,48.79559416796397,12.165921759654493,12.32862953849244,7.735984867506986,9.126701150002509,71.20842330805671,11.134434791342336,9.204037563400792
Ann Arbor,Michigan,28.1,117070,2.17,MI,50.216964209447326,49.78303579055265,1.6528572648842572,16.056205688904072,8.180575723925857,5.029469548133595,77.02485692320835,17.69625010677373,3.087041940719228
Antioch,California,34.0,110542,3.31,CA,49.51330715926978,50.48669284073022,3.1318412910929783,12.966112427855474,21.011923069964357,32.171482332507104,46.2729098442221,22.563369578983554,5.139223100721899
Apple Valley,California,34.3,72185,3.03,CA,45.53993211886126,54.46006788113874,2.0031862575327284,3.159936274849345,12.63974509939738,35.91881969938353,84.18230934404654,8.036295629285862,7.915771974787006
Appleton,Wisconsin,35.6,75255,2.49,WI,49.45452129426618,50.54547870573384,1.109560826523155,7.389542223108099,4.5272739352866935,6.828782140721548,85.93980466414192,5.918543618364228,5.606272008504418
Arden-Arcade,California,41.5,96276,2.18,CA,49.437035190494,50.562964809506006,2.6870663509078065,7.639494785824088,14.174872242303374,15.863766670821388,72.05222485354605,13.978561635298517,6.762848477294445
Arlington,Texas,32.6,388122,2.89,TX,49.22678951463715,50.77321048536285,0.7518254569439506,8.194330648610489,23.949943574443086,28.877002591968502,64.71032304275461,20.424248045717587,4.3929486089425485
Arlington,Virginia,34.4,229164,2.19,VA,49.73774240282069,50.26225759717931,0.3687315634218289,12.477963379937513,9.76244087203924,15.670436892356564,74.91272625717826,24.08973486236931,5.550173674748216
Arlington Heights,Illinois,45.9,76996,2.38,IL,48.86877240376123,51.13122759623877,,12.955218452906644,1.5870954335290146,3.5612239596862176,86.08888773442776,19.00098706426308,3.931373058340693
Arvada,Colorado,41.0,115035,2.49,CO,47.69852653540226,52.301473464597734,2.0602425348806883,2.5400964923718865,2.5948624331725125,14.273047333420264,93.57065241013605,4.277828486982223,7.762854783326813
Asheville,North Carolina,37.9,88507,2.18,NC,47.56685911848781,52.4331408815122,0.5604076513722078,2.1907871693764336,10.256815845074401,4.684375247155592,88.10489565797056,7.490932920559956,5.618764617487883
Atascocita,Texas,32.8,78240,3.03,TX,47.832310838445814,52.167689161554186,1.30879345603272,3.119887525562372,27.468047034764822,26.126022494887522,64.71114519427404,11.064672801635993,5.6441717791411055
Athens-Clarke County unified government,Georgia,26.5,122563,2.44,GA,46.84529588864502,53.15470411135498,0.4838328043536793,5.413542423080377,28.216509060646356,10.736519177892186,65.21625612950075,10.499090263782707,3.2252800600507494
Atlanta,Georgia,33.8,463875,2.15,GA,48.28024791161411,51.71975208838589,0.9929399083804904,5.231581783885745,52.895068714632174,4.021126381029372,42.32088385879817,6.901859337105902,4.003664780382646
